,date,Active Cases - (Number of Infected People)
0,2020-02-15,7.0
1,2020-02-16,7.0
2,2020-02-17,7.0
3,2020-02-18,7.0
4,2020-02-19,7.0
5,2020-02-20,7.0
6,2020-02-21,8.0
7,2020-02-22,8.0
8,2020-02-23,8.0
9,2020-02-24,9.0
10,2020-02-25,9.0
11,2020-02-26,9.0
12,2020-02-27,10.0
13,2020-02-28,12.0
14,2020-02-29,12.0
15,2020-03-01,13.0
16,2020-03-02,18.0
17,2020-03-03,21.0
18,2020-03-04,21.0
19,2020-03-05,29.0
20,2020-03-06,33.0
21,2020-03-07,36.0
22,2020-03-08,45.0
23,2020-03-09,48.0
24,2020-03-10,81.0
25,2020-03-11,100.0
26,2020-03-12,122.0
27,2020-03-13,157.0
28,2020-03-14,186.0
29,2020-03-15,226.0
30,2020-03-16,299.0
31,2020-03-17,386.0
32,2020-03-18,511.0
33,2020-03-19,644.0
34,2020-03-20,810.0
35,2020-03-21,1000.0
36,2020-03-22,1253.0
37,2020-03-23,1601.0
38,2020-03-24,2010.0
39,2020-03-25,2428.0
40,2020-03-26,2935.0
41,2020-03-27,3354.0
42,2020-03-28,3824.0
43,2020-03-29,4309.0
44,2020-03-30,4828.0
45,2020-03-31,5500.0
46,2020-04-01,6174.0
47,2020-04-02,6792.0
48,2020-04-03,7325.0
49,2020-04-04,7726.0
50,2020-04-05,8256.0
51,2020-04-06,8591.0
52,2020-04-07,8775.0
53,2020-04-08,9077.0
54,2020-04-09,9197.0
55,2020-04-10,9375.0
56,2020-04-11,9556.0
57,2020-04-12,9820.0
58,2020-04-13,10017.0
59,2020-04-14,10069.0
60,2020-04-15,10005.0
61,2020-04-16,10035.0
62,2020-04-17,10016.0
63,2020-04-18,9964.0
64,2020-04-19,9934.0
65,2020-04-20,9933.0
66,2020-04-21,9750.0
67,2020-04-22,9263.0
68,2020-04-23,9140.0
69,2020-04-24,8995.0
70,2020-04-25,8717.0
71,2020-04-26,8502.0
72,2020-04-27,8157.0
73,2020-04-28,7766.0
74,2020-04-29,7356.0
75,2020-04-30,7164.0
76,2020-05-01,6682.0
77,2020-05-02,6298.0
78,2020-05-03,6166.0
79,2020-05-04,5903.0
80,2020-05-05,5532.0
81,2020-05-06,5424.0
82,2020-05-07,5248.0
83,2020-05-08,4920.0
84,2020-05-09,4791.0
85,2020-05-10,4761.0
86,2020-05-11,4381.0
87,2020-05-12,4162.0
88,2020-05-13,4048.0
89,2020-05-14,3780.0
90,2020-05-15,3725.0
91,2020-05-16,3460.0
92,2020-05-17,3384.0
93,2020-05-18,3096.0
94,2020-05-19,2934.0
95,2020-05-20,2879.0
96,2020-05-21,2677.0
97,2020-05-22,2505.0
98,2020-05-23,2335.0
99,2020-05-24,2285.0
100,2020-05-25,2151.0
101,2020-05-26,2051.0
102,2020-05-27,1978.0
103,2020-05-28,1943.0
104,2020-05-29,1959.0
105,2020-05-30,1953.0
106,2020-05-31,2038.0
107,2020-06-01,2072.0
108,2020-06-02,2126.0
109,2020-06-03,2179.0
110,2020-06-04,2291.0
111,2020-06-05,2405.0
112,2020-06-06,2463.0
113,2020-06-07,2551.0
114,2020-06-08,2719.0
115,2020-06-09,2835.0
116,2020-06-10,3067.0
117,2020-06-11,3176.0
118,2020-06-12,3322.0
119,2020-06-13,3402.0
120,2020-06-14,3521.0
121,2020-06-15,3679.0
122,2020-06-16,3944.0
123,2020-06-17,4204.0
124,2020-06-18,4448.0
125,2020-06-19,4690.0
126,2020-06-20,4850.0
127,2020-06-21,4915.0
128,2020-06-22,5192.0
129,2020-06-23,5536.0
130,2020-06-24,5952.0
131,2020-06-25,6400.0
132,2020-06-26,5994.0
133,2020-06-27,6258.0
134,2020-06-28,6568.0
135,2020-06-29,7182.0
136,2020-06-30,7848.0
137,2020-07-01,8707.0
138,2020-07-02,9762.0
139,2020-07-03,10582.0
140,2020-07-04,11253.0
141,2020-07-05,11948.0
142,2020-07-06,12973.0
143,2020-07-07,14184.0
144,2020-07-08,15399.0
145,2020-07-09,16806.0
146,2020-07-10,18052.0
147,2020-07-11,19016.0
148,2020-07-12,20053.0
149,2020-07-13,21383.0
150,2020-07-14,22711.0
151,2020-07-15,24260.0
152,2020-07-16,25810.0
153,2020-07-17,27036.0
154,2020-07-18,27871.0
155,2020-07-19,28552.0
156,2020-07-20,29955.0
157,2020-07-21,31364.0
158,2020-07-22,32837.0
159,2020-07-23,34081.0
160,2020-07-24,33153.0
161,2020-07-25,34136.0
