,date,Daily New Cases - Cases per Day<br>Data as of 0:00 GMT+0
0,2020-02-15,
1,2020-02-16,0.0
2,2020-02-17,0.0
3,2020-02-18,0.0
4,2020-02-19,0.0
5,2020-02-20,0.0
6,2020-02-21,1.0
7,2020-02-22,0.0
8,2020-02-23,0.0
9,2020-02-24,1.0
10,2020-02-25,0.0
11,2020-02-26,0.0
12,2020-02-27,1.0
13,2020-02-28,3.0
14,2020-02-29,0.0
15,2020-03-01,1.0
16,2020-03-02,5.0
17,2020-03-03,3.0
18,2020-03-04,0.0
19,2020-03-05,9.0
20,2020-03-06,4.0
21,2020-03-07,4.0
22,2020-03-08,9.0
23,2020-03-09,4.0
24,2020-03-10,33.0
25,2020-03-11,19.0
26,2020-03-12,22.0
27,2020-03-13,35.0
28,2020-03-14,29.0
29,2020-03-15,40.0
30,2020-03-16,73.0
31,2020-03-17,94.0
32,2020-03-18,125.0
33,2020-03-19,136.0
34,2020-03-20,168.0
35,2020-03-21,211.0
36,2020-03-22,254.0
37,2020-03-23,352.0
38,2020-03-24,423.0
39,2020-03-25,425.0
40,2020-03-26,520.0
41,2020-03-27,434.0
42,2020-03-28,480.0
43,2020-03-29,531.0
44,2020-03-30,549.0
45,2020-03-31,739.0
46,2020-04-01,697.0
47,2020-04-02,725.0
48,2020-04-03,602.0
49,2020-04-04,429.0
50,2020-04-05,585.0
51,2020-04-06,451.0
52,2020-04-07,377.0
53,2020-04-08,341.0
54,2020-04-09,343.0
55,2020-04-10,359.0
56,2020-04-11,345.0
57,2020-04-12,552.0
58,2020-04-13,438.0
59,2020-04-14,399.0
60,2020-04-15,311.0
61,2020-04-16,297.0
62,2020-04-17,298.0
63,2020-04-18,291.0
64,2020-04-19,276.0
65,2020-04-20,299.0
66,2020-04-21,282.0
67,2020-04-22,226.0
68,2020-04-23,276.0
69,2020-04-24,249.0
70,2020-04-25,159.0
71,2020-04-26,83.0
72,2020-04-27,127.0
73,2020-04-28,161.0
74,2020-04-29,82.0
75,2020-04-30,143.0
76,2020-05-01,116.0
77,2020-05-02,57.0
78,2020-05-03,27.0
79,2020-05-04,55.0
80,2020-05-05,33.0
81,2020-05-06,65.0
82,2020-05-07,61.0
83,2020-05-08,33.0
84,2020-05-09,20.0
85,2020-05-10,29.0
86,2020-05-11,39.0
87,2020-05-12,23.0
88,2020-05-13,39.0
89,2020-05-14,22.0
90,2020-05-15,12.0
91,2020-05-16,5.0
92,2020-05-17,15.0
93,2020-05-18,27.0
94,2020-05-19,22.0
95,2020-05-20,15.0
96,2020-05-21,18.0
97,2020-05-22,19.0
98,2020-05-23,5.0
99,2020-05-24,13.0
100,2020-05-25,22.0
101,2020-05-26,50.0
102,2020-05-27,40.0
103,2020-05-28,77.0
104,2020-05-29,113.0
105,2020-05-30,29.0
106,2020-05-31,87.0
107,2020-06-01,100.0
108,2020-06-02,121.0
109,2020-06-03,97.0
110,2020-06-04,142.0
111,2020-06-05,127.0
112,2020-06-06,78.0
113,2020-06-07,140.0
114,2020-06-08,179.0
115,2020-06-09,174.0
116,2020-06-10,241.0
117,2020-06-11,192.0
118,2020-06-12,184.0
119,2020-06-13,149.0
120,2020-06-14,137.0
121,2020-06-15,200.0
122,2020-06-16,299.0
123,2020-06-17,271.0
124,2020-06-18,303.0
125,2020-06-19,311.0
126,2020-06-20,161.0
127,2020-06-21,174.0
128,2020-06-22,345.0
129,2020-06-23,453.0
130,2020-06-24,487.0
131,2020-06-25,516.0
132,2020-06-26,464.0
133,2020-06-27,397.0
134,2020-06-28,383.0
135,2020-06-29,759.0
136,2020-06-30,790.0
137,2020-07-01,972.0
138,2020-07-02,1152.0
139,2020-07-03,944.0
140,2020-07-04,822.0
141,2020-07-05,830.0
142,2020-07-06,1134.0
143,2020-07-07,1390.0
144,2020-07-08,1328.0
145,2020-07-09,1525.0
146,2020-07-10,1410.0
147,2020-07-11,1168.0
148,2020-07-12,1239.0
149,2020-07-13,1720.0
150,2020-07-14,1604.0
151,2020-07-15,1878.0
152,2020-07-16,1939.0
153,2020-07-17,1608.0
154,2020-07-18,1448.0
155,2020-07-19,1016.0
156,2020-07-20,1888.0
157,2020-07-21,2008.0
158,2020-07-22,2045.0
159,2020-07-23,1990.0
160,2020-07-24,1831.0
161,2020-07-25,1112.0
162,2020-07-26,1042.0
163,2020-07-27,2050.0
164,2020-07-28,2125.0
165,2020-07-29,1957.0
166,2020-07-30,1788.0
167,2020-07-31,1362.0
168,2020-08-01,626.0
169,2020-08-02,708.0
170,2020-08-03,1802.0
171,2020-08-04,1729.0
172,2020-08-05,1691.0
173,2020-08-06,1678.0
174,2020-08-07,1766.0
175,2020-08-08,755.0
176,2020-08-09,924.0
177,2020-08-10,1704.0
178,2020-08-11,1824.0
179,2020-08-12,1622.0
180,2020-08-13,1644.0
181,2020-08-14,1390.0
182,2020-08-15,757.0
183,2020-08-16,1071.0
184,2020-08-17,1651.0
185,2020-08-18,1650.0
186,2020-08-19,1641.0
187,2020-08-20,1486.0
188,2020-08-21,1495.0
189,2020-08-22,711.0
190,2020-08-23,965.0
191,2020-08-24,1902.0
192,2020-08-25,1959.0
193,2020-08-26,1986.0
194,2020-08-27,2108.0
195,2020-08-28,1834.0
196,2020-08-29,910.0
197,2020-08-30,1102.0
198,2020-08-31,2178.0
199,2020-09-01,2253.0
200,2020-09-02,3194.0
201,2020-09-03,2664.0
202,2020-09-04,2624.0
203,2020-09-05,1505.0
204,2020-09-06,2177.0
205,2020-09-07,3391.0
206,2020-09-08,3492.0
207,2020-09-09,3997.0
208,2020-09-10,4163.0
209,2020-09-11,3978.0
210,2020-09-12,2720.0
211,2020-09-13,3176.0
212,2020-09-14,4815.0
213,2020-09-15,5543.0
214,2020-09-16,4577.0
215,2020-09-17,5387.0
216,2020-09-18,5341.0
217,2020-09-19,3812.0
218,2020-09-20,2578.0
219,2020-09-21,3876.0
220,2020-09-22,7033.0
221,2020-09-23,7156.0
222,2020-09-24,8275.0
223,2020-09-25,8402.0
224,2020-09-26,5885.0
225,2020-09-27,3443.0
226,2020-09-28,1159.0
227,2020-09-29,4997.0
228,2020-09-30,9083.0
229,2020-10-01,7740.0
230,2020-10-02,7068.0
231,2020-10-03,2595.0
232,2020-10-04,2940.0
233,2020-10-05,5725.0
234,2020-10-06,4728.0
235,2020-10-07,4167.0
236,2020-10-08,3757.0
237,2020-10-09,2966.0
238,2020-10-10,916.0
239,2020-10-11,1649.0
240,2020-10-12,3172.0
241,2020-10-13,2338.0
242,2020-10-14,2122.0
243,2020-10-15,1613.0
244,2020-10-16,1501.0
245,2020-10-17,412.0
246,2020-10-18,925.0
247,2020-10-19,1519.0
248,2020-10-20,1195.0
249,2020-10-21,1171.0
250,2020-10-22,1033.0
251,2020-10-23,850.0
252,2020-10-24,248.0
253,2020-10-25,606.0
254,2020-10-26,886.0
255,2020-10-27,888.0
256,2020-10-28,725.0
257,2020-10-29,647.0
258,2020-10-30,681.0
259,2020-10-31,228.0
260,2020-11-01,658.0
261,2020-11-02,793.0
262,2020-11-03,847.0
263,2020-11-04,771.0
264,2020-11-05,570.0
265,2020-11-06,692.0
266,2020-11-07,212.0
267,2020-11-08,535.0
268,2020-11-09,722.0
269,2020-11-10,675.0
270,2020-11-11,767.0
271,2020-11-12,837.0
272,2020-11-13,762.0
273,2020-11-14,292.0
274,2020-11-15,628.0
275,2020-11-16,874.0
276,2020-11-17,830.0
277,2020-11-18,799.0
278,2020-11-19,771.0
279,2020-11-20,773.0
280,2020-11-21,424.0
281,2020-11-22,763.0
282,2020-11-23,962.0
283,2020-11-24,860.0
284,2020-11-25,1082.0
285,2020-11-26,1090.0
286,2020-11-27,1034.0
287,2020-11-28,583.0
288,2020-11-29,1025.0
289,2020-11-30,1258.0
290,2020-12-01,1200.0
291,2020-12-02,1590.0
292,2020-12-03,1455.0
293,2020-12-04,1517.0
294,2020-12-05,1001.0
295,2020-12-06,1365.0
296,2020-12-07,1866.0
297,2020-12-08,1772.0
298,2020-12-09,1869.0
299,2020-12-10,2011.0
300,2020-12-11,1837.0
301,2020-12-12,1298.0
302,2020-12-13,1730.0
303,2020-12-14,2322.0
304,2020-12-15,2895.0
305,2020-12-16,2862.0
306,2020-12-17,2853.0
307,2020-12-18,2800.0
308,2020-12-19,1890.0
309,2020-12-20,3103.0
310,2020-12-21,3866.0
311,2020-12-22,4386.0
312,2020-12-23,4053.0
313,2020-12-24,4058.0
314,2020-12-25,4019.0
315,2020-12-26,2663.0
316,2020-12-27,3538.0
317,2020-12-28,5536.0
318,2020-12-29,5647.0
319,2020-12-30,5880.0
320,2020-12-31,5888.0
321,2021-01-01,6034.0
322,2021-01-02,4225.0
323,2021-01-03,5245.0
324,2021-01-04,8435.0
325,2021-01-05,8259.0
326,2021-01-06,7903.0
327,2021-01-07,7678.0
328,2021-01-08,8184.0
329,2021-01-09,5170.0
330,2021-01-10,6974.0
331,2021-01-11,9751.0
332,2021-01-12,9326.0
333,2021-01-13,9500.0
334,2021-01-14,9324.0
335,2021-01-15,8454.0
336,2021-01-16,5096.0
337,2021-01-17,5676.0
338,2021-01-18,10145.0
339,2021-01-19,8662.0
340,2021-01-20,8389.0
341,2021-01-21,7299.0
342,2021-01-22,7413.0
343,2021-01-23,2453.0
344,2021-01-24,4958.0
345,2021-01-25,8751.0
346,2021-01-26,7835.0
347,2021-01-27,7770.0
348,2021-01-28,7212.0
349,2021-01-29,6789.0
350,2021-01-30,2629.0
351,2021-01-31,5253.0
352,2021-02-01,8959.0
353,2021-02-02,8043.0
354,2021-02-03,7491.0
355,2021-02-04,7282.0
356,2021-02-05,6615.0
357,2021-02-06,2662.0
358,2021-02-07,4616.0
359,2021-02-08,7874.0
360,2021-02-09,6182.0
361,2021-02-10,5696.0
362,2021-02-11,5029.0
363,2021-02-12,4683.0
364,2021-02-13,1891.0
365,2021-02-14,3493.0
366,2021-02-15,5201.0
367,2021-02-16,4586.0
368,2021-02-17,4174.0
369,2021-02-18,3345.0
370,2021-02-19,3802.0
371,2021-02-20,1255.0
372,2021-02-21,3116.0
373,2021-02-22,4824.0
374,2021-02-23,4454.0
375,2021-02-24,4384.0
376,2021-02-25,3827.0
377,2021-02-26,3826.0
378,2021-02-27,1443.0
379,2021-02-28,3064.0
380,2021-03-01,4873.0
381,2021-03-02,4387.0
382,2021-03-03,4680.0
383,2021-03-04,3667.0
384,2021-03-05,3722.0
385,2021-03-06,1877.0
386,2021-03-07,2351.0
387,2021-03-08,3801.0
388,2021-03-09,3135.0
389,2021-03-10,2842.0
390,2021-03-11,2555.0
391,2021-03-12,2416.0
392,2021-03-13,787.0
393,2021-03-14,1393.0
394,2021-03-15,2131.0
395,2021-03-16,1570.0
396,2021-03-17,1540.0
397,2021-03-18,1250.0
398,2021-03-19,1084.0
399,2021-03-20,351.0
400,2021-03-21,681.0
401,2021-03-22,981.0
402,2021-03-23,692.0
403,2021-03-24,478.0
404,2021-03-25,844.0
405,2021-03-26,524.0
406,2021-03-27,231.0
407,2021-03-28,130.0
408,2021-03-29,363.0
409,2021-03-30,445.0
410,2021-03-31,499.0
411,2021-04-01,335.0
412,2021-04-02,419.0
413,2021-04-03,124.0
414,2021-04-04,197.0
415,2021-04-05,383.0
416,2021-04-06,309.0
417,2021-04-07,276.0
418,2021-04-08,212.0
419,2021-04-09,226.0
420,2021-04-10,86.0
421,2021-04-11,141.0
422,2021-04-12,224.0
423,2021-04-13,200.0
424,2021-04-14,196.0
425,2021-04-15,96.0
426,2021-04-16,111.0
427,2021-04-17,83.0
428,2021-04-18,143.0
429,2021-04-19,133.0
430,2021-04-20,162.0
431,2021-04-21,114.0
432,2021-04-22,130.0
433,2021-04-23,111.0
434,2021-04-24,39.0
435,2021-04-25,77.0
436,2021-04-26,95.0
437,2021-04-27,87.0
438,2021-04-28,98.0
439,2021-04-29,94.0
440,2021-04-30,79.0
441,2021-05-01,15.0
442,2021-05-02,50.0
443,2021-05-03,66.0
444,2021-05-04,63.0
445,2021-05-05,69.0
446,2021-05-06,49.0
447,2021-05-07,34.0
448,2021-05-08,16.0
449,2021-05-09,33.0
450,2021-05-10,52.0
451,2021-05-11,35.0
452,2021-05-12,28.0
453,2021-05-13,30.0
454,2021-05-14,27.0
455,2021-05-15,20.0
456,2021-05-16,29.0
457,2021-05-17,15.0
458,2021-05-18,23.0
459,2021-05-19,56.0
460,2021-05-20,34.0
461,2021-05-21,22.0
462,2021-05-22,12.0
463,2021-05-23,26.0
464,2021-05-24,30.0
465,2021-05-25,23.0
466,2021-05-26,15.0
467,2021-05-27,14.0
468,2021-05-28,18.0
469,2021-05-29,13.0
470,2021-05-30,3.0
471,2021-05-31,14.0
472,2021-06-01,35.0
473,2021-06-02,13.0
474,2021-06-03,10.0
475,2021-06-04,31.0
476,2021-06-05,6.0
477,2021-06-06,4.0
478,2021-06-07,7.0
479,2021-06-08,30.0
480,2021-06-09,7.0
481,2021-06-10,18.0
482,2021-06-11,18.0
483,2021-06-12,5.0
484,2021-06-13,3.0
485,2021-06-14,26.0
486,2021-06-15,26.0
487,2021-06-16,13.0
488,2021-06-17,28.0
489,2021-06-18,35.0
490,2021-06-19,47.0
491,2021-06-20,49.0
492,2021-06-21,125.0
493,2021-06-22,110.0
494,2021-06-23,140.0
495,2021-06-24,232.0
496,2021-06-25,231.0
497,2021-06-26,117.0
498,2021-06-27,145.0
499,2021-06-28,289.0
500,2021-06-29,295.0
501,2021-06-30,310.0
502,2021-07-01,299.0
503,2021-07-02,331.0
504,2021-07-03,188.0
505,2021-07-04,348.0
506,2021-07-05,504.0
507,2021-07-06,528.0
508,2021-07-07,526.0
509,2021-07-08,467.0
510,2021-07-09,534.0
511,2021-07-10,263.0
512,2021-07-11,443.0
513,2021-07-12,762.0
514,2021-07-13,747.0
515,2021-07-14,772.0
516,2021-07-15,863.0
517,2021-07-16,1134.0
518,2021-07-17,435.0
519,2021-07-18,838.0
520,2021-07-19,1386.0
521,2021-07-20,1412.0
522,2021-07-21,1348.0
523,2021-07-22,1286.0
524,2021-07-23,1443.0
525,2021-07-24,973.0
526,2021-07-25,1416.0
527,2021-07-26,2136.0
528,2021-07-27,2290.0
529,2021-07-28,2192.0
530,2021-07-29,2179.0
531,2021-07-30,2443.0
532,2021-07-31,2101.0
533,2021-08-01,2124.0
534,2021-08-02,3860.0
535,2021-08-03,3312.0
536,2021-08-04,3509.0
537,2021-08-05,3885.0
538,2021-08-06,3890.0
539,2021-08-07,2932.0
540,2021-08-08,3444.0
541,2021-08-09,6379.0
542,2021-08-10,5857.0
543,2021-08-11,6025.0
544,2021-08-12,6152.0
545,2021-08-13,5958.0
546,2021-08-14,4221.0
547,2021-08-15,5198.0
548,2021-08-16,8797.0
549,2021-08-17,7969.0
550,2021-08-18,8028.0
551,2021-08-19,7829.0
552,2021-08-20,7906.0
553,2021-08-21,5417.0
554,2021-08-22,6584.0
555,2021-08-23,10048.0
556,2021-08-24,10087.0
557,2021-08-25,9228.0
558,2021-08-26,9122.0
559,2021-08-27,8695.0
560,2021-08-28,7281.0
561,2021-08-29,6787.0
562,2021-08-30,11155.0
563,2021-08-31,10450.0
564,2021-09-01,11297.0
565,2021-09-02,11347.0
566,2021-09-03,9911.0
567,2021-09-04,5068.0
568,2021-09-05,5865.0
569,2021-09-06,10870.0
570,2021-09-07,6868.0
571,2021-09-08,3319.0
572,2021-09-09,7958.0
573,2021-09-10,9899.0
574,2021-09-11,10289.0
575,2021-09-12,7822.0
576,2021-09-13,10957.0
577,2021-09-14,9859.0
578,2021-09-15,8864.0
579,2021-09-16,3285.0
580,2021-09-17,5025.0
581,2021-09-18,8620.0
582,2021-09-19,6554.0
583,2021-09-20,8825.0
584,2021-09-21,4830.0
585,2021-09-22,6038.0
586,2021-09-23,6452.0
587,2021-09-24,4991.0
588,2021-09-25,2652.0
589,2021-09-26,3875.0
590,2021-09-27,5243.0
591,2021-09-28,2442.0
592,2021-09-29,3635.0
593,2021-09-30,4397.0
594,2021-10-01,3625.0
595,2021-10-02,1739.0
596,2021-10-03,2701.0
597,2021-10-04,3276.0
598,2021-10-05,2556.0
599,2021-10-06,2424.0
600,2021-10-07,2118.0
601,2021-10-08,2023.0
602,2021-10-09,1039.0
603,2021-10-10,1492.0
604,2021-10-11,2344.0
605,2021-10-12,1817.0
606,2021-10-13,1770.0
607,2021-10-14,1348.0
608,2021-10-15,1575.0
609,2021-10-16,740.0
610,2021-10-17,1222.0
611,2021-10-18,1503.0
612,2021-10-19,1148.0
613,2021-10-20,1036.0
614,2021-10-21,993.0
615,2021-10-22,982.0
616,2021-10-23,332.0
617,2021-10-24,842.0
618,2021-10-25,929.0
619,2021-10-26,729.0
620,2021-10-27,646.0
621,2021-10-28,662.0
622,2021-10-29,619.0
623,2021-10-30,226.0
624,2021-10-31,530.0
625,2021-11-01,690.0
626,2021-11-02,666.0
627,2021-11-03,606.0
628,2021-11-04,521.0
629,2021-11-05,344.0
630,2021-11-06,411.0
631,2021-11-07,511.0
632,2021-11-08,732.0
633,2021-11-09,458.0
634,2021-11-10,510.0
635,2021-11-11,399.0
636,2021-11-12,303.0
637,2021-11-13,295.0
638,2021-11-14,479.0
639,2021-11-15,526.0
640,2021-11-16,547.0
641,2021-11-17,516.0
642,2021-11-18,467.0
643,2021-11-19,306.0
644,2021-11-20,428.0
645,2021-11-21,464.0
646,2021-11-22,550.0
647,2021-11-23,140.0
648,2021-11-24,0.0
649,2021-11-25,0.0
650,2021-11-26,236.0
651,2021-11-27,340.0
652,2021-11-28,329.0
653,2021-11-29,766.0
654,2021-11-30,684.0
655,2021-12-01,443.0
656,2021-12-02,565.0
657,2021-12-03,415.0
658,2021-12-04,409.0
659,2021-12-05,614.0
660,2021-12-06,564.0
661,2021-12-07,804.0
662,2021-12-08,859.0
663,2021-12-09,626.0
664,2021-12-10,426.0
665,2021-12-11,387.0
666,2021-12-12,443.0
667,2021-12-13,731.0
668,2021-12-14,830.0
669,2021-12-15,627.0
670,2021-12-16,878.0
671,2021-12-17,720.0
672,2021-12-18,785.0
673,2021-12-19,705.0
674,2021-12-20,1636.0
675,2021-12-21,920.0
676,2021-12-22,1127.0
677,2021-12-23,2091.0
678,2021-12-24,1005.0
679,2021-12-25,1561.0
680,2021-12-26,1135.0
681,2021-12-27,3046.0
682,2021-12-28,2995.0
683,2021-12-29,3446.0
