,date,Outcome of total closed cases (recovery rate vs death rate) - (Cumulative total deaths and recoveries over cumulative number of closed cases)
0,2020-02-15,0.0
1,2020-02-16,0.0
2,2020-02-17,0.0
3,2020-02-18,0.0
4,2020-02-19,0.0
5,2020-02-20,0.0
6,2020-02-21,
7,2020-02-22,
8,2020-02-23,
9,2020-02-24,
10,2020-02-25,
11,2020-02-26,
12,2020-02-27,
13,2020-02-28,0.0
14,2020-02-29,0.0
15,2020-03-01,0.0
16,2020-03-02,0.0
17,2020-03-03,0.0
18,2020-03-04,0.0
19,2020-03-05,0.0
20,2020-03-06,0.0
21,2020-03-07,0.0
22,2020-03-08,0.0
23,2020-03-09,0.0
24,2020-03-10,0.0
25,2020-03-11,0.0
26,2020-03-12,0.0
27,2020-03-13,0.0
28,2020-03-14,0.0
29,2020-03-15,0.0
30,2020-03-16,0.0
31,2020-03-17,0.0
32,2020-03-18,0.0
33,2020-03-19,0.0
34,2020-03-20,6.25
35,2020-03-21,2.7
36,2020-03-22,2.63
37,2020-03-23,2.38
38,2020-03-24,5.36
39,2020-03-25,7.94
40,2020-03-26,10.53
41,2020-03-27,13.19
42,2020-03-28,11.88
43,2020-03-29,10.2
44,2020-03-30,9.04
45,2020-03-31,8.2
46,2020-04-01,9.74
47,2020-04-02,9.63
48,2020-04-03,9.03
49,2020-04-04,9.34
50,2020-04-05,9.32
51,2020-04-06,8.88
52,2020-04-07,7.78
53,2020-04-08,8.35
54,2020-04-09,7.84
55,2020-04-10,7.43
56,2020-04-11,7.0
57,2020-04-12,5.95
58,2020-04-13,5.89
59,2020-04-14,5.31
60,2020-04-15,4.83
61,2020-04-16,4.8
62,2020-04-17,4.61
63,2020-04-18,4.53
64,2020-04-19,4.38
65,2020-04-20,4.19
66,2020-04-21,3.92
67,2020-04-22,3.5
68,2020-04-23,3.31
69,2020-04-24,3.13
70,2020-04-25,3.0
71,2020-04-26,2.9
72,2020-04-27,2.76
73,2020-04-28,2.64
74,2020-04-29,2.54
75,2020-04-30,2.53
76,2020-05-01,2.4
77,2020-05-02,2.33
78,2020-05-03,2.32
79,2020-05-04,2.28
80,2020-05-05,2.22
81,2020-05-06,2.2
82,2020-05-07,2.16
83,2020-05-08,2.14
84,2020-05-09,2.13
85,2020-05-10,2.16
86,2020-05-11,2.13
87,2020-05-12,2.11
88,2020-05-13,2.11
89,2020-05-14,2.07
90,2020-05-15,2.07
91,2020-05-16,2.04
92,2020-05-17,2.06
93,2020-05-18,2.04
94,2020-05-19,2.03
95,2020-05-20,2.02
96,2020-05-21,1.99
97,2020-05-22,1.97
98,2020-05-23,1.94
99,2020-05-24,1.93
100,2020-05-25,1.93
101,2020-05-26,1.91
102,2020-05-27,1.89
103,2020-05-28,1.9
104,2020-05-29,1.89
105,2020-05-30,1.88
106,2020-05-31,1.89
107,2020-06-01,1.88
108,2020-06-02,1.9
109,2020-06-03,1.91
110,2020-06-04,1.9
111,2020-06-05,1.9
112,2020-06-06,1.92
113,2020-06-07,1.94
114,2020-06-08,1.94
115,2020-06-09,1.93
116,2020-06-10,1.93
117,2020-06-11,1.93
118,2020-06-12,1.92
119,2020-06-13,1.92
120,2020-06-14,1.91
121,2020-06-15,1.92
122,2020-06-16,1.92
123,2020-06-17,1.92
124,2020-06-18,1.92
125,2020-06-19,1.91
126,2020-06-20,1.92
127,2020-06-21,1.91
128,2020-06-22,1.91
129,2020-06-23,1.9
130,2020-06-24,1.9
131,2020-06-25,1.89
132,2020-06-26,1.83
133,2020-06-27,1.83
134,2020-06-28,1.83
135,2020-06-29,1.82
136,2020-06-30,1.81
137,2020-07-01,1.81
138,2020-07-02,1.81
139,2020-07-03,1.81
140,2020-07-04,1.82
141,2020-07-05,1.81
142,2020-07-06,1.82
143,2020-07-07,1.84
144,2020-07-08,1.84
145,2020-07-09,1.85
146,2020-07-10,1.85
147,2020-07-11,1.85
148,2020-07-12,1.87
149,2020-07-13,1.85
150,2020-07-14,1.85
151,2020-07-15,1.85
152,2020-07-16,1.85
153,2020-07-17,1.85
154,2020-07-18,1.84
155,2020-07-19,1.85
156,2020-07-20,1.84
157,2020-07-21,1.83
158,2020-07-22,1.81
159,2020-07-23,1.81
160,2020-07-24,1.64
161,2020-07-25,1.67
162,2020-07-26,1.71
163,2020-07-27,1.72
164,2020-07-28,1.49
165,2020-07-29,1.48
166,2020-07-30,1.14
167,2020-07-31,1.15
168,2020-08-01,1.15
169,2020-08-02,1.16
170,2020-08-03,1.13
171,2020-08-04,1.11
172,2020-08-05,1.09
173,2020-08-06,1.07
174,2020-08-07,1.04
175,2020-08-08,1.03
176,2020-08-09,1.03
177,2020-08-10,1.03
178,2020-08-11,1.02
179,2020-08-12,1.02
180,2020-08-13,1.0
181,2020-08-14,0.98
182,2020-08-15,0.98
183,2020-08-16,0.99
184,2020-08-17,0.97
185,2020-08-18,0.97
186,2020-08-19,1.06
