,date,Total Cases - (Linear Scale)
0,2020-02-15,7.0
1,2020-02-16,7.0
2,2020-02-17,7.0
3,2020-02-18,7.0
4,2020-02-19,7.0
5,2020-02-20,7.0
6,2020-02-21,8.0
7,2020-02-22,8.0
8,2020-02-23,8.0
9,2020-02-24,9.0
10,2020-02-25,9.0
11,2020-02-26,9.0
12,2020-02-27,10.0
13,2020-02-28,13.0
14,2020-02-29,13.0
15,2020-03-01,14.0
16,2020-03-02,19.0
17,2020-03-03,22.0
18,2020-03-04,22.0
19,2020-03-05,31.0
20,2020-03-06,35.0
21,2020-03-07,39.0
22,2020-03-08,48.0
23,2020-03-09,52.0
24,2020-03-10,85.0
25,2020-03-11,104.0
26,2020-03-12,126.0
27,2020-03-13,161.0
28,2020-03-14,190.0
29,2020-03-15,230.0
30,2020-03-16,303.0
31,2020-03-17,397.0
32,2020-03-18,522.0
33,2020-03-19,658.0
34,2020-03-20,826.0
35,2020-03-21,1037.0
36,2020-03-22,1291.0
37,2020-03-23,1643.0
38,2020-03-24,2066.0
39,2020-03-25,2491.0
40,2020-03-26,3011.0
41,2020-03-27,3445.0
42,2020-03-28,3925.0
43,2020-03-29,4456.0
44,2020-03-30,5005.0
45,2020-03-31,5744.0
46,2020-04-01,6441.0
47,2020-04-02,7166.0
48,2020-04-03,7768.0
49,2020-04-04,8197.0
50,2020-04-05,8782.0
51,2020-04-06,9233.0
52,2020-04-07,9610.0
53,2020-04-08,9951.0
54,2020-04-09,10294.0
55,2020-04-10,10653.0
56,2020-04-11,10998.0
57,2020-04-12,11550.0
58,2020-04-13,11988.0
59,2020-04-14,12387.0
60,2020-04-15,12698.0
61,2020-04-16,12995.0
62,2020-04-17,13293.0
63,2020-04-18,13584.0
64,2020-04-19,13860.0
65,2020-04-20,14159.0
66,2020-04-21,14441.0
67,2020-04-22,14667.0
68,2020-04-23,14943.0
69,2020-04-24,15192.0
70,2020-04-25,15351.0
71,2020-04-26,15434.0
72,2020-04-27,15561.0
73,2020-04-28,15722.0
74,2020-04-29,15804.0
75,2020-04-30,15947.0
76,2020-05-01,16063.0
77,2020-05-02,16120.0
78,2020-05-03,16147.0
79,2020-05-04,16202.0
80,2020-05-05,16235.0
81,2020-05-06,16300.0
82,2020-05-07,16361.0
83,2020-05-08,16394.0
84,2020-05-09,16414.0
85,2020-05-10,16443.0
86,2020-05-11,16482.0
87,2020-05-12,16505.0
88,2020-05-13,16544.0
89,2020-05-14,16566.0
90,2020-05-15,16578.0
91,2020-05-16,16583.0
92,2020-05-17,16598.0
93,2020-05-18,16625.0
94,2020-05-19,16647.0
95,2020-05-20,16662.0
96,2020-05-21,16680.0
97,2020-05-22,16699.0
98,2020-05-23,16704.0
99,2020-05-24,16717.0
100,2020-05-25,16739.0
101,2020-05-26,16789.0
102,2020-05-27,16829.0
103,2020-05-28,16906.0
104,2020-05-29,17019.0
105,2020-05-30,17048.0
106,2020-05-31,17135.0
107,2020-06-01,17235.0
108,2020-06-02,17356.0
109,2020-06-03,17453.0
110,2020-06-04,17595.0
111,2020-06-05,17722.0
112,2020-06-06,17800.0
113,2020-06-07,17940.0
114,2020-06-08,18119.0
115,2020-06-09,18293.0
116,2020-06-10,18534.0
117,2020-06-11,18726.0
118,2020-06-12,18910.0
119,2020-06-13,19059.0
120,2020-06-14,19196.0
121,2020-06-15,19396.0
122,2020-06-16,19695.0
123,2020-06-17,19966.0
124,2020-06-18,20269.0
125,2020-06-19,20580.0
126,2020-06-20,20741.0
127,2020-06-21,20915.0
128,2020-06-22,21260.0
129,2020-06-23,21713.0
130,2020-06-24,22200.0
131,2020-06-25,22716.0
132,2020-06-26,23180.0
133,2020-06-27,23577.0
134,2020-06-28,23960.0
135,2020-06-29,24719.0
136,2020-06-30,25509.0
137,2020-07-01,26481.0
138,2020-07-02,27633.0
139,2020-07-03,28577.0
140,2020-07-04,29399.0
141,2020-07-05,30229.0
142,2020-07-06,31363.0
143,2020-07-07,32753.0
144,2020-07-08,34081.0
145,2020-07-09,35606.0
146,2020-07-10,37016.0
147,2020-07-11,38184.0
148,2020-07-12,39423.0
149,2020-07-13,41143.0
150,2020-07-14,42747.0
151,2020-07-15,44625.0
152,2020-07-16,46564.0
153,2020-07-17,48172.0
154,2020-07-18,49620.0
155,2020-07-19,50636.0
156,2020-07-20,52524.0
157,2020-07-21,54532.0
158,2020-07-22,56577.0
159,2020-07-23,58567.0
160,2020-07-24,60398.0
161,2020-07-25,61510.0
